title,word,frequency
Twelfth Night,gave,1
Twelfth Night,generally,1
Twelfth Night,genius,1
Twelfth Night,gentleman,1
Twelfth Night,gentlewoman,1
Twelfth Night,gets,1
Twelfth Night,given,1
Twelfth Night,gleeful,1
Twelfth Night,gleefully,1
Twelfth Night,gone,1
Twelfth Night,gooey,1
Twelfth Night,gotten,1
Twelfth Night,granted,1
Twelfth Night,gras,1
Twelfth Night,greedy,1
Twelfth Night,grief,1
Twelfth Night,grin,1
Twelfth Night,grins,1
Twelfth Night,ground,1
Twelfth Night,guise,1
Twelfth Night,gullers,1
Twelfth Night,gullible,1
Twelfth Night,happen,1
Twelfth Night,happily,1
Twelfth Night,happiness,1
Twelfth Night,hard,1
Twelfth Night,harmful,1
Twelfth Night,harsh,1
Twelfth Night,hast,1
Twelfth Night,hatches,1
Twelfth Night,hates,1
Twelfth Night,haughtily,1
Twelfth Night,head,1
Twelfth Night,headed,1
Twelfth Night,heal,1
Twelfth Night,heart,1
Twelfth Night,hearted,1
Twelfth Night,heaven,1
Twelfth Night,heck,1
Twelfth Night,heiress,1
Twelfth Night,helpless,1
Twelfth Night,heteronormative,1
Twelfth Night,hidden,1
Twelfth Night,hide,1
Twelfth Night,hiding,1
Twelfth Night,hierarchies,1
Twelfth Night,historical,1
Twelfth Night,history,1
Twelfth Night,holding,1
Twelfth Night,holds,1
Twelfth Night,holiday,1
Twelfth Night,homoerotic,1
Twelfth Night,homoeroticism,1
Twelfth Night,hooking,1
Twelfth Night,hooray,1
Twelfth Night,hope,1
Twelfth Night,hopeless,1
Twelfth Night,hoping,1
Twelfth Night,hounds,1
Twelfth Night,hours,1
Twelfth Night,houses,1
Twelfth Night,humiliation,1
Twelfth Night,hysterically,1
Twelfth Night,idiot,1
Twelfth Night,ilyria,1
Twelfth Night,imagine,1
Twelfth Night,immediately,1
Twelfth Night,immense,1
Twelfth Night,impersonated,1
Twelfth Night,impress,1
Twelfth Night,included,1
Twelfth Night,includes,1
Twelfth Night,including,1
Twelfth Night,income,1
Twelfth Night,increase,1
Twelfth Night,indeed,1
Twelfth Night,individuals,1
Twelfth Night,indulgent,1
Twelfth Night,ing,1
Twelfth Night,initially,1
Twelfth Night,injury,1
Twelfth Night,insane,1
Twelfth Night,instead,1
Twelfth Night,insults,1
Twelfth Night,intentions,1
Twelfth Night,interestingly,1
Twelfth Night,interrupt,1
Twelfth Night,interrupts,1
Twelfth Night,intimate,1
Twelfth Night,introduces,1
Twelfth Night,invert,1
Twelfth Night,invite,1
Twelfth Night,involving,1
Twelfth Night,issue,1
Twelfth Night,issues,1
Twelfth Night,jam,1
Twelfth Night,jokes,1
Twelfth Night,joyfully,1
Twelfth Night,judgmental,1
Twelfth Night,juicy,1
Twelfth Night,jumps,1
Twelfth Night,keep,1
Twelfth Night,keeps,1
Twelfth Night,kick,1
Twelfth Night,kill,1
Twelfth Night,kinds,1
Twelfth Night,kingdom,1
Twelfth Night,knot,1
Twelfth Night,knowing,1
Twelfth Night,known,1
Twelfth Night,land,1
Twelfth Night,last,1
Twelfth Night,latent,1
Twelfth Night,laws,1
Twelfth Night,learns,1
Twelfth Night,least,1
Twelfth Night,leave,1
Twelfth Night,leaving,1
Twelfth Night,lengths,1
Twelfth Night,lets,1
Twelfth Night,level,1
Twelfth Night,light,1
Twelfth Night,lightest,1
Twelfth Night,likewise,1
Twelfth Night,limited,1
Twelfth Night,lips,1
Twelfth Night,listening,1
Twelfth Night,literally,1
Twelfth Night,little,1
Twelfth Night,live,1
Twelfth Night,loading,1
Twelfth Night,locked,1
Twelfth Night,logical,1
Twelfth Night,look,1
Twelfth Night,loon,1
Twelfth Night,lose,1
Twelfth Night,lover,1
Twelfth Night,loving,1
Twelfth Night,lower,1
Twelfth Night,lucky,1
Twelfth Night,lucrative,1
Twelfth Night,ludicrous,1
Twelfth Night,lumped,1
Twelfth Night,lunacy,1
Twelfth Night,mad,1
Twelfth Night,madly,1
Twelfth Night,madman,1
Twelfth Night,maintaining,1
Twelfth Night,major,1
Twelfth Night,mannerisms,1
Twelfth Night,many,1
Twelfth Night,march,1
Twelfth Night,mardi,1
Twelfth Night,master,1
Twelfth Night,match,1
Twelfth Night,matrimonially,1
Twelfth Night,matter,1
Twelfth Night,mean,1
Twelfth Night,meaning,1
Twelfth Night,meantime,1
Twelfth Night,meet,1
Twelfth Night,melodramatic,1
Twelfth Night,merry,1
Twelfth Night,mess,1
Twelfth Night,message,1
Twelfth Night,messages,1
Twelfth Night,messenger,1
Twelfth Night,meta,1
Twelfth Night,metaphors,1
Twelfth Night,might,1
Twelfth Night,minor,1
Twelfth Night,misdirected,1
Twelfth Night,miserable,1
Twelfth Night,misinterpreted,1
Twelfth Night,mistake,1
Twelfth Night,mistaking,1
Twelfth Night,modern,1
Twelfth Night,monster,1
Twelfth Night,mooch,1
Twelfth Night,moral,1
Twelfth Night,morality,1
Twelfth Night,motel,1
Twelfth Night,mourns,1
Twelfth Night,movement,1
